loss,mae,rmse,val_loss,val_mae,val_rmse
0.5389217138290405,0.6150454878807068,0.7341128587722778,0.4708312451839447,0.5725587606430054,0.6861714124679565
0.2806711196899414,0.42961037158966064,0.5297840237617493,0.38434964418411255,0.5434269905090332,0.6199593544006348
0.2376067340373993,0.3830638527870178,0.48744919896125793,0.4782622158527374,0.6266394257545471,0.6915650367736816
0.2012351006269455,0.35151076316833496,0.44859233498573303,0.24762506783008575,0.458599716424942,0.4976193904876709
0.15923812985420227,0.3185245096683502,0.39904651045799255,0.10711713135242462,0.2762352526187897,0.3272875249385834
0.1379205286502838,0.2799372375011444,0.37137654423713684,0.12330466508865356,0.295160710811615,0.3511476218700409
0.12653428316116333,0.27557265758514404,0.3557165861129761,0.42593109607696533,0.557012677192688,0.6526339650154114
0.13593457639217377,0.29073259234428406,0.3686930537223816,0.19425728917121887,0.37468671798706055,0.4407462775707245
0.11604369431734085,0.263253778219223,0.34065186977386475,0.07558660209178925,0.213902086019516,0.2749301791191101
0.11371050775051117,0.2622687816619873,0.33720988035202026,0.08860745280981064,0.2454311102628708,0.29767003655433655
0.07216614484786987,0.20729173719882965,0.2686375677585602,0.06850478798151016,0.21183240413665771,0.2617341876029968
0.0901658833026886,0.22896867990493774,0.30027633905410767,0.13108506798744202,0.3165760636329651,0.362056702375412
0.06747397035360336,0.20742015540599823,0.25975751876831055,0.04485908895730972,0.16795846819877625,0.21179963648319244
0.059046391397714615,0.19014517962932587,0.24299463629722595,0.06402911245822906,0.20602667331695557,0.25303974747657776
0.03861939162015915,0.15308640897274017,0.1965181678533554,0.0633658766746521,0.21085263788700104,0.25172579288482666
0.035825639963150024,0.1498691588640213,0.18927662074565887,0.11865277588367462,0.3015871047973633,0.344460129737854
0.02408374473452568,0.12483192980289459,0.1551893800497055,0.10636002570390701,0.2815120220184326,0.32612884044647217
0.018829969689249992,0.11018606275320053,0.13722233474254608,0.15090028941631317,0.35039037466049194,0.38845884799957275
0.01781781204044819,0.10443202406167984,0.1334833800792694,0.18684464693069458,0.3742753863334656,0.4322552978992462
0.0307446476072073,0.14311480522155762,0.17534151673316956,0.17467105388641357,0.3678540885448456,0.41793665289878845
0.02453599125146866,0.1222420409321785,0.1566396802663803,0.1509900689125061,0.34106388688087463,0.38857439160346985
0.020124994218349457,0.10913629829883575,0.14186258614063263,0.1627483069896698,0.36731842160224915,0.40342074632644653
0.01656971126794815,0.10358419269323349,0.1287233978509903,0.18520306050777435,0.3974910080432892,0.43035224080085754
0.015496243722736835,0.10033095628023148,0.12448390573263168,0.16782355308532715,0.375722199678421,0.40966272354125977
0.011444578878581524,0.08395189046859741,0.10697934031486511,0.19018816947937012,0.3938503861427307,0.4361056685447693
0.011809827759861946,0.08329429477453232,0.10867302864789963,0.1487310379743576,0.3420158326625824,0.3856566250324249
0.009693610481917858,0.07805602252483368,0.09845613688230515,0.17184890806674957,0.3768717348575592,0.4145466387271881
0.011508272029459476,0.08668606728315353,0.10727661103010178,0.21400456130504608,0.42497333884239197,0.462606281042099
0.009415697306394577,0.07584405690431595,0.0970345139503479,0.2335362285375595,0.4398311376571655,0.48325586318969727
0.011857402510941029,0.08261419832706451,0.10889169573783875,0.22716929018497467,0.4372563362121582,0.4766227900981903
0.009079032577574253,0.07824073731899261,0.09528395533561707,0.20197252929210663,0.41103285551071167,0.449413537979126
0.014336635358631611,0.09724356234073639,0.11973568797111511,0.25378966331481934,0.45834627747535706,0.503775417804718
0.009233309887349606,0.07606067508459091,0.09609011560678482,0.22412127256393433,0.4282689392566681,0.47341448068618774
